Id,ActivityDate,StepTotal,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,MinutesLogged,MinutesNOTLogged,HoursNOTLogged
1503960366,4/12/2016,13162,1985,728,328,13,25,0.00,6.06,0.55,1.88,1094,346,5.77
1503960366,4/13/2016,10735,1797,776,217,19,21,0.00,4.71,0.69,1.57,1033,407,6.78
1503960366,4/14/2016,10460,1776,1218,181,11,30,0.00,3.91,0.40,2.44,1440,0,0.00
1503960366,4/15/2016,9762,1745,726,209,34,29,0.00,2.83,1.26,2.14,998,442,7.37
1503960366,4/16/2016,12669,1863,773,221,10,36,0.00,5.04,0.41,2.71,1040,400,6.67
1503960366,4/17/2016,9705,1728,539,164,20,38,0.00,2.51,0.78,3.19,761,679,11.32
1503960366,4/18/2016,13019,1921,1149,233,16,42,0.00,4.71,0.64,3.25,1440,0,0.00
1503960366,4/19/2016,15506,2035,775,264,31,50,0.00,5.03,1.32,3.53,1120,320,5.33
1503960366,4/20/2016,10544,1786,818,205,12,28,0.00,4.24,0.48,1.96,1063,377,6.28
1503960366,4/21/2016,9819,1775,838,211,8,19,0.00,4.65,0.35,1.34,1076,364,6.07
1503960366,4/22/2016,12764,1827,1217,130,27,66,0.00,2.24,1.12,4.76,1440,0,0.00
1503960366,4/23/2016,14371,1949,732,262,21,41,0.00,5.36,0.87,2.81,1056,384,6.40
1503960366,4/24/2016,10039,1788,709,238,5,39,0.00,3.28,0.21,2.92,991,449,7.48
1503960366,4/25/2016,15355,2013,814,216,14,73,0.00,3.94,0.57,5.29,1117,323,5.38
1503960366,4/26/2016,13755,1970,833,279,23,31,0.00,5.54,0.92,2.33,1166,274,4.57
1503960366,4/27/2016,18134,2159,1108,243,11,78,0.00,5.41,0.41,6.40,1440,0,0.00
1503960366,4/28/2016,13154,1898,782,189,28,48,0.00,3.79,1.16,3.54,1047,393,6.55
1503960366,4/29/2016,11181,1837,815,243,12,16,0.00,5.58,0.50,1.06,1086,354,5.90
1503960366,4/30/2016,14673,1947,712,217,34,52,0.00,4.27,1.42,3.56,1015,425,7.08
1503960366,5/1/2016,10602,1820,730,246,35,33,0.00,2.92,1.60,2.29,1044,396,6.60
1503960366,5/2/2016,14727,2004,798,277,15,41,0.00,5.92,0.57,3.21,1131,309,5.15
1503960366,5/3/2016,15103,1990,816,254,24,50,0.00,4.88,1.05,3.73,1144,296,4.93
1503960366,5/4/2016,11100,1819,1179,203,22,36,0.00,3.82,0.87,2.46,1440,0,0.00
1503960366,5/5/2016,14070,1959,857,250,24,45,0.00,4.88,1.08,2.92,1176,264,4.40
1503960366,5/6/2016,12159,1896,754,289,6,24,0.00,5.81,0.25,1.97,1073,367,6.12
1503960366,5/7/2016,11992,1821,833,175,46,37,0.00,3.13,2.12,2.46,1091,349,5.82
1503960366,5/8/2016,10060,1740,574,203,8,44,0.00,2.73,0.32,3.53,829,611,10.18
1503960366,5/9/2016,12022,1819,835,206,11,46,0.00,3.74,0.53,3.45,1098,342,5.70
1503960366,5/10/2016,12207,1859,746,214,31,46,0.00,3.26,1.16,3.35,1037,403,6.72
1503960366,5/11/2016,12770,1783,669,251,23,36,0.00,4.55,1.01,2.56,979,461,7.68
1503960366,5/12/2016,0,0,1440,0,0,0,0.00,0.00,0.00,0.00,1440,0,0.00
1624580081,4/12/2016,8163,1432,1294,146,0,0,0.00,5.31,0.00,0.00,1440,0,0.00
1624580081,4/13/2016,7007,1411,1292,148,0,0,0.00,4.55,0.00,0.00,1440,0,0.00
1624580081,4/14/2016,9107,1572,1204,236,0,0,0.01,5.91,0.00,0.00,1440,0,0.00
1624580081,4/15/2016,1510,1344,1344,96,0,0,0.00,0.97,0.00,0.00,1440,0,0.00
1624580081,4/16/2016,5370,1463,1264,176,0,0,0.00,3.49,0.00,0.00,1440,0,0.00
1624580081,4/17/2016,6175,1554,1276,127,22,15,0.01,1.49,1.52,1.03,1440,0,0.00
1624580081,4/18/2016,10536,1604,1214,202,7,17,0.01,4.62,0.62,2.15,1440,0,0.00
1624580081,4/19/2016,2916,1435,1299,141,0,0,0.00,1.90,0.00,0.00,1440,0,0.00
1624580081,4/20/2016,4974,1446,1289,151,0,0,0.00,3.23,0.00,0.00,1440,0,0.00
1624580081,4/21/2016,6349,1467,1254,186,0,0,0.02,4.11,0.00,0.00,1440,0,0.00
1624580081,4/22/2016,4026,1470,1241,199,0,0,0.00,2.60,0.00,0.00,1440,0,0.00
1624580081,4/23/2016,8538,1562,1213,227,0,0,0.01,5.54,0.00,0.00,1440,0,0.00
1624580081,4/24/2016,6076,1617,1221,185,18,16,0.00,1.89,0.91,1.15,1440,0,0.00
1624580081,4/25/2016,6497,1492,1238,202,0,0,0.02,4.20,0.00,0.00,1440,0,0.00
1624580081,4/26/2016,2826,1402,1300,140,0,0,0.01,1.83,0.00,0.00,1440,0,0.00
1624580081,4/27/2016,8367,1670,1233,154,36,17,0.00,2.46,1.87,1.11,1440,0,0.00
1624580081,4/28/2016,2759,1401,1320,115,5,0,0.00,1.60,0.20,0.00,1440,0,0.00
1624580081,4/29/2016,2390,1404,1290,150,0,0,0.00,1.55,0.00,0.00,1440,0,0.00
1624580081,4/30/2016,6474,1655,1182,224,23,11,0.01,2.12,1.28,0.90,1440,0,0.00
1624580081,5/1/2016,36019,2690,1020,171,63,186,0.02,1.91,4.19,21.92,1440,0,0.00
1624580081,5/2/2016,7155,1497,1261,166,6,7,0.00,3.47,0.59,0.86,1440,0,0.00
1624580081,5/3/2016,2100,1334,1344,96,0,0,0.02,1.34,0.00,0.00,1440,0,0.00
1624580081,5/4/2016,2193,1368,1322,118,0,0,0.00,1.42,0.00,0.00,1440,0,0.00
1624580081,5/5/2016,2470,1370,1323,117,0,0,0.02,1.58,0.00,0.00,1440,0,0.00
1624580081,5/6/2016,1727,1341,1338,102,0,0,0.01,1.12,0.00,0.00,1440,0,0.00
1624580081,5/7/2016,2104,1474,1258,182,0,0,0.00,1.37,0.00,0.00,1440,0,0.00
1624580081,5/8/2016,3427,1427,1288,152,0,0,0.00,2.22,0.00,0.00,1440,0,0.00
1624580081,5/9/2016,1732,1328,1349,91,0,0,0.00,1.13,0.00,0.00,1440,0,0.00
1624580081,5/10/2016,2969,1393,1301,139,0,0,0.01,1.92,0.00,0.00,1440,0,0.00
1624580081,5/11/2016,3134,1359,1328,112,0,0,0.00,2.04,0.00,0.00,1440,0,0.00
1624580081,5/12/2016,2971,1002,890,107,0,0,0.01,1.92,0.00,0.00,997,443,7.38
1644430081,4/12/2016,10694,3199,1131,256,51,2,0.00,5.33,2.30,0.14,1440,0,0.00
1644430081,4/13/2016,8001,2902,1259,135,16,30,0.00,2.64,0.90,2.28,1440,0,0.00
1644430081,4/14/2016,11037,3226,1125,252,58,5,0.00,5.10,2.56,0.36,1440,0,0.00
1644430081,4/15/2016,5263,2750,1263,170,4,3,0.00,3.45,0.15,0.22,1440,0,0.00
1644430081,4/16/2016,15300,3493,1135,212,42,51,0.00,5.09,1.88,4.10,1440,0,0.00
1644430081,4/17/2016,8757,3011,1212,186,13,29,0.00,3.55,0.57,2.25,1440,0,0.00
1644430081,4/18/2016,7132,2806,1271,121,33,15,0.00,2.45,1.67,1.07,1440,0,0.00
1644430081,4/19/2016,11256,3300,1099,278,58,5,0.00,5.30,2.53,0.36,1440,0,0.00
1644430081,4/20/2016,2436,2430,1315,125,0,0,0.01,1.76,0.00,0.00,1440,0,0.00
1644430081,4/21/2016,1223,2140,1402,38,0,0,0.01,0.88,0.00,0.00,1440,0,0.00
1644430081,4/22/2016,3673,2344,1354,86,0,0,0.01,2.66,0.00,0.00,1440,0,0.00
1644430081,4/23/2016,6637,2677,1265,160,15,0,0.00,4.25,0.58,0.00,1440,0,0.00
1644430081,4/24/2016,3321,2413,1351,89,0,0,0.00,2.41,0.00,0.00,1440,0,0.00
1644430081,4/25/2016,3580,2497,1337,94,1,8,0.00,1.95,0.06,0.59,1440,0,0.00
1644430081,4/26/2016,9919,3123,1165,223,41,11,0.00,4.69,1.72,0.80,1440,0,0.00
1644430081,4/27/2016,3032,2489,1322,118,0,0,0.00,2.20,0.00,0.00,1440,0,0.00
1644430081,4/28/2016,9405,3108,1157,227,53,3,0.00,4.31,2.32,0.20,1440,0,0.00
1644430081,4/29/2016,3176,2498,1193,120,0,0,0.00,2.31,0.00,0.00,1313,127,2.12
1644430081,4/30/2016,18213,3846,816,402,71,9,0.00,9.46,3.14,0.63,1298,142,2.37
1644430081,5/1/2016,6132,2696,908,146,24,3,0.00,3.23,0.99,0.24,1081,359,5.98
1644430081,5/2/2016,3758,2580,682,148,7,1,0.00,2.35,0.31,0.07,838,602,10.03
1644430081,5/3/2016,12850,3324,1115,221,94,10,0.00,4.54,4.09,0.72,1440,0,0.00
1644430081,5/4/2016,2309,2222,1388,52,0,0,0.02,1.66,0.00,0.00,1440,0,0.00
1644430081,5/5/2016,4363,2463,1341,81,12,6,0.01,2.13,0.54,0.52,1440,0,0.00
1644430081,5/6/2016,9787,3328,1054,369,6,11,0.02,6.01,0.27,0.82,1440,0,0.00
1644430081,5/7/2016,13372,3404,1139,243,17,41,0.01,5.67,0.79,3.26,1440,0,0.00
1644430081,5/8/2016,6724,2987,991,295,0,0,0.00,4.88,0.00,0.00,1286,154,2.57
1644430081,5/9/2016,6643,3008,1099,303,6,32,0.01,2.09,0.35,2.39,1440,0,0.00
1644430081,5/10/2016,9167,2799,1254,155,19,12,0.01,4.97,0.81,0.88,1440,0,0.00
1644430081,5/11/2016,1329,1276,713,49,0,0,0.01,0.95,0.00,0.00,762,678,11.30
1844505072,4/12/2016,6697,2030,1101,339,0,0,0.00,4.43,0.00,0.00,1440,0,0.00
1844505072,4/13/2016,4929,1860,1192,248,0,0,0.00,3.26,0.00,0.00,1440,0,0.00
1844505072,4/14/2016,7937,2130,843,373,0,0,0.00,5.23,0.00,0.00,1216,224,3.73
1844505072,4/15/2016,3844,1725,527,176,0,0,0.00,2.54,0.00,0.00,703,737,12.28
1844505072,4/16/2016,3414,1657,1293,147,0,0,0.00,2.26,0.00,0.00,1440,0,0.00
1844505072,4/17/2016,4525,1793,1231,199,8,2,0.00,2.59,0.26,0.14,1440,0,0.00
1844505072,4/18/2016,4597,1814,1211,217,12,0,0.00,2.56,0.48,0.00,1440,0,0.00
1844505072,4/19/2016,197,1366,1430,10,0,0,0.00,0.13,0.00,0.00,1440,0,0.00
